Name,Version,Description
test-test-test,0.2.0,
test-test,1.2.0,test_test
Test-01,1.0,"Speed up your model making process. This will help you in selecting best features, best Models (SVM,SVR Random Fotest e.t.c and also in Data Preprocessing"
test0015,1.0,Testing something
test0731,1.1.0,A simple printer of nested lists
test2,1.0.0,An example of print list
test1288,0.1,The funniest joke in the world
test1277,0.1,The funniest joke in the world
test0801-2,2.0.0,A simple printer of nested lists
test-10,1.0.1,Sprite detection package
test54545454,1.0.0,Simple calculator API hosted on APIMATIC
test3,1.1.0,A simple printer of test3 lists
Test69420,0.0.2,Test Package for PyPi
test123,1.4.0,A simple printer of nested lists
test0408,1.1.0,just a testing
test0801-1,1.0.0,A simple printer of nested lists
test127,0.0.2,A small example package
test0,0.0.1,Test easily a python import
test0017,0.1,Testing something
test1265,0.1,The funniest joke in the world
